obs,mortg,fedfunds,cpifabns,gdp,tb3ms,gs20,spcs10rsa,houst,currcir
1992M01,8.43,4.03,137.9,6343.01623179137,3.8,NA,78.073,1176,303.214996337891
1992M02,8.76,4.06,138.1,6380.45353551711,3.84,NA,78.079,1250,301.643005371094
1992M03,8.94,3.98,138.8,6418.93023269152,4.04,NA,78.0092,1297,302.795013427734
1992M04,8.85,3.73,138.8,6458.44776694812,3.75,NA,77.9501,1099,305.488006591797
1992M05,8.67,3.82,138.3,6493.71612469379,3.63,NA,77.8949,1214,308.105987548828
1992M06,8.51,3.76,138.3,6524.73610835805,3.66,NA,77.701,1145,310.184997558594
1992M07,8.13,3.25,138.1,6551.50769416355,3.21,NA,77.4306,1139,313.734008789063
1992M08,7.98,3.3,138.8,6584.48223943476,3.13,NA,77.3057,1226,315.778991699219
1992M09,7.92,3.22,139.3,6623.66006640166,2.91,NA,77.1526,1186,318.623992919922
1992M10,8.09,3.1,139.2,6669.04266957481,2.86,NA,77.029,1244,320.217987060547
1992M11,8.31,3.09,139.1,6701.76875990488,3.13,NA,76.9571,1214,324.501007080078
1992M12,8.22,2.92,139.5,6721.83857052027,3.22,NA,76.8619,1227,330.544006347656
1993M01,8.02,3.02,140.5,6729.24990064541,3,NA,76.8907,1210,330.329010009766
1993M02,7.68,3.03,140.7,6745.30105692311,2.93,NA,76.8547,1210,329.464996337891
1993M03,7.5,3.07,140.9,6769.98904243145,2.95,NA,76.5967,1083,331.640991210938
1993M04,7.47,2.96,141.4,6803.31249785389,2.87,NA,76.3986,1258,335.287994384766
1993M05,7.47,3,141.8,6831.35167488308,2.96,NA,76.2703,1260,338.468994140625
1993M06,7.42,3.04,141.1,6854.10582726298,3.07,NA,76.2613,1280,342.769012451172
1993M07,7.21,3.06,141.1,6871.57318431,3.04,NA,76.0905,1254,346.480010986328
1993M08,7.11,3.03,141.5,6900.42529344104,3.02,NA,75.9022,1300,348.207000732422
1993M09,6.92,3.09,141.8,6940.66152224894,2.95,NA,75.8704,1343,351.125
1993M10,6.83,2.99,142.3,6992.28340124827,3.02,6.07,75.8105,1392,353.180999755859
1993M11,7.16,3.02,142.6,7035.60579683713,3.1,6.38,75.9027,1376,356.704010009766
1993M12,7.17,2.96,143.3,7070.63080191456,3.06,6.4,75.9076,1533,362.545013427734
1994M01,7.06,3.05,144.3,7097.35890894992,2.98,6.39,76.0566,1272,362.842987060547
1994M02,7.15,3.25,143.6,7133.21659800639,3.25,6.57,76.228,1337,363.790008544922
1994M03,7.68,3.34,143.9,7178.20449304367,3.5,7,76.4093,1564,366.757995605469
1994M04,8.32,3.56,144,7232.32494996659,3.68,7.4,76.5771,1465,370.756011962891
1994M05,8.6,4.01,144.1,7273.99842811798,4.14,7.54,76.6926,1526,374.194000244141
1994M06,8.4,4.25,144.2,7303.22662191539,4.14,7.51,76.7721,1409,378.790985107422
1994M07,8.61,4.26,144.8,7320.0088322173,4.33,7.67,76.8652,1439,383.384002685547
1994M08,8.51,4.47,145.3,7348.3854830539,4.48,7.62,76.9407,1450,384.423004150391
1994M09,8.64,4.73,145.6,7388.35568472877,4.62,7.87,76.97,1474,386.453002929688
1994M10,8.93,4.76,145.6,7439.92075051301,4.95,8.08,77.0987,1450,388.877014160156
1994M11,9.17,5.29,145.9,7480.36610997481,5.29,8.2,77.1338,1511,393.898986816406
1994M12,9.2,5.45,147.2,7509.69313951216,5.6,7.99,77.2122,1455,398.868011474609
1995M01,9.15,5.53,147.9,7527.90107569435,5.71,7.97,77.2025,1407,399.372009277344
1995M02,8.83,5.92,147.8,7545.50301125535,5.77,7.73,77.2789,1316,396.654998779297
1995M03,8.46,5.98,147.9,7562.49591305026,5.73,7.57,77.0563,1249,400.523986816406
1995M04,8.32,6.05,148.9,7578.87661761466,5.65,7.45,76.8845,1267,405.065002441406
1995M05,7.96,6.01,148.7,7602.50481115544,5.67,7.01,76.7724,1314,408.328002929688
1995M06,7.57,6,148.4,7633.37857122987,5.47,6.59,76.662,1281,409.140991210938
1995M07,7.61,5.85,148.6,7671.49734697365,5.42,6.74,76.7026,1461,410.921997070313
1995M08,7.86,5.74,148.9,7707.30143964239,5.4,6.92,76.7488,1416,410.411987304688
1995M09,7.64,5.8,149.4,7740.79121338396,5.28,6.65,76.8232,1369,410.993988037109
1995M10,7.48,5.76,149.8,7771.96657595472,5.28,6.45,76.859,1369,411.571990966797
1995M11,7.38,5.8,149.8,7800.40325617829,5.36,6.33,76.8778,1452,414.029998779297
1995M12,7.2,5.6,150.3,7826.10016786694,5.14,6.12,76.9181,1431,419.588989257813
1996M01,7.03,5.56,151.4,7849.0556870903,5,6.11,76.9882,1467,417.912994384766
1996M02,7.08,5.22,151.3,7887.86508767529,4.83,6.3,77.1172,1491,412.817993164063
1996M03,7.62,5.31,152.1,7942.5292252344,4.96,6.74,77.1665,1424,415.773986816406
1996M04,7.93,5.22,152.7,8013.05197313992,4.95,6.98,77.3384,1516,418.283996582031
1996M05,8.07,5.24,152.5,8067.04775080031,5.02,7.11,77.4716,1504,420.039001464844
1996M06,8.32,5.27,153.1,8104.52027605978,5.09,7.22,77.4688,1467,423.444000244141
1996M07,8.25,5.4,153.6,8125.4700934449,5.15,7.14,77.5087,1472,428.407012939453
1996M08,8,5.22,154.2,8155.88518587557,5.05,6.97,77.608,1557,429.558013916016
1996M09,8.23,5.3,155,8195.76472067951,5.09,7.17,77.7468,1475,431.617004394531
1996M10,7.92,5.24,155.8,8245.10966103981,4.99,6.9,77.9516,1392,432.730010986328
1996M11,7.62,5.31,156.2,8288.92322842748,5.03,6.58,78.1838,1489,436.967987060547
1996M12,7.6,5.29,156.6,8327.20711053269,4.91,6.65,78.3799,1370,444.539001464844
1997M01,7.82,5.25,156.9,8359.96192383577,5.03,6.91,78.5705,1355,443.322998046875
1997M02,7.65,5.19,156.9,8399.72396643623,5.01,6.77,78.7227,1486,441.028015136719
1997M03,7.9,5.39,157.1,8446.49410972796,5.14,7.05,78.9902,1457,443.388000488281
1997M04,8.14,5.51,157.1,8500.27455127695,5.16,7.2,79.2481,1492,446.026000976563
1997M05,7.94,5.5,157.1,8552.46794649889,5.05,7.02,79.5259,1442,448.725006103516
1997M06,7.69,5.56,157.1,8603.07750222417,4.93,6.84,79.9069,1494,451.761993408203
1997M07,7.5,5.52,157.5,8652.10610856861,5.05,6.56,80.2182,1437,456.039001464844
1997M08,7.48,5.54,158.1,8694.10337482606,5.14,6.65,80.6092,1390,456.640991210938
1997M09,7.43,5.54,158.4,8729.07051660531,4.95,6.56,80.9108,1546,458.473999023438
1997M10,7.29,5.5,158.7,8757.00739140271,4.97,6.38,81.4153,1520,460.701995849609
1997M11,7.21,5.52,158.9,8787.47632413675,5.14,6.2,81.9575,1510,466.876007080078
1997M12,7.1,5.5,159.1,8820.47628446054,5.16,6.07,82.5915,1566,475.598999023438
1998M01,6.99,5.56,160.3,8856.00671212664,5.04,5.88,83.263,1525,474.013000488281
1998M02,7.04,5.51,159.8,8890.18187576395,5.09,5.96,83.9675,1584,471.755004882813
1998M03,7.13,5.49,160.1,8923.00141210938,5.03,6.01,84.6241,1567,473.667999267578
1998M04,7.14,5.45,160.2,8954.46468482232,4.95,6,85.1852,1540,476.261993408203
1998M05,7.14,5.49,160.7,8992.53690430657,5,6.01,85.8567,1536,478.954010009766
1998M06,7,5.56,160.6,9037.21841087108,4.98,5.8,86.6289,1641,481.459991455078
1998M07,6.95,5.54,160.9,9088.51079473864,4.96,5.78,87.4301,1698,485.963989257813
1998M08,6.92,5.55,161.4,9144.83984723898,4.9,5.66,88.1429,1614,487.888000488281
1998M09,6.72,5.51,161.5,9206.20935802237,4.61,5.38,88.8512,1582,492.792999267578
1998M10,6.71,5.07,162.4,9272.62406667323,3.96,5.3,89.3454,1715,496.407989501953
1998M11,6.87,4.83,162.5,9328.99625475491,4.41,5.48,89.732,1660,502.704010009766
1998M12,6.72,4.68,162.7,9375.32967857185,4.39,5.36,90.1377,1792,510.723999023438
1999M01,6.79,4.63,163.9,9411.62616102625,4.34,5.45,90.7101,1748,510.136993408203
1999M02,6.81,4.76,163.8,9447.30572136497,4.44,5.66,91.4356,1670,510.631011962891
1999M03,7.04,4.81,163.7,9482.36811760878,4.44,5.87,92.1333,1710,514.736022949219
1999M04,6.92,4.74,163.9,9516.81297590423,4.29,5.82,93.0513,1553,519.380981445313
1999M05,7.15,4.74,164.2,9555.56438259934,4.5,6.08,93.7541,1611,523.518005371094
1999M06,7.55,4.76,164.1,9598.62264149644,4.57,6.36,94.6483,1559,528.619018554688
1999M07,7.63,4.99,164.2,9645.98886605732,4.55,6.28,95.5023,1669,533.768981933594
1999M08,7.94,5.07,164.7,9707.54761683995,4.72,6.43,96.3797,1648,536.0830078125
1999M09,7.82,5.22,165.1,9783.30351710273,4.68,6.5,97.1964,1635,542.364990234375
1999M10,7.85,5.2,165.5,9873.26389091236,4.86,6.66,97.9753,1608,550.940979003906
1999M11,7.74,5.42,165.7,9935.37989412596,5.07,6.48,98.8936,1648,569.656005859375
1999M12,7.91,5.3,165.9,9969.65621496171,5.2,6.69,99.8661,1708,601.158996582031
2000M01,8.21,5.45,166.6,9976.09220447693,5.32,6.86,100.745,1636,587.981994628906
2000M02,8.33,5.73,166.8,10018.8818107043,5.55,6.54,101.893,1737,565.635986328125
2000M03,8.24,5.85,167.1,10098.0259848188,5.69,6.38,103.154,1604,563.591003417969
2000M04,8.15,6.02,167.2,10213.5326155796,5.66,6.18,104.531,1626,564.724975585938
2000M05,8.52,6.27,167.8,10290.9829272995,5.79,6.55,106.012,1575,566.06201171875
2000M06,8.29,6.53,167.9,10330.3844571209,5.69,6.28,107.336,1559,568.484985351563
2000M07,8.15,6.54,168.7,10331.7374529174,5.96,6.2,108.171,1463,570.797973632813
2000M08,8.03,6.5,169.2,10351.3235043843,6.09,6.02,109.068,1541,569.531982421875
2000M09,7.91,6.52,169.4,10389.1390426983,6,6.09,110.027,1507,570.465026855469
2000M10,7.8,6.51,169.6,10445.1839708777,6.11,6.04,111.172,1549,571.60400390625
2000M11,7.75,6.51,169.5,10479.5324216797,6.17,5.98,112.502,1551,576.005981445313
2000M12,7.38,6.4,170.5,10492.1836074427,5.77,5.64,113.931,1532,584.581970214844
2001M01,7.03,5.98,171.4,10483.1325778515,5.15,5.65,115.43,1600,584.005981445313
2001M02,7.05,5.49,171.8,10499.5964493179,4.88,5.62,116.691,1625,582.523986816406
2001M03,6.95,5.31,172.2,10541.5709728306,4.42,5.49,117.725,1590,585.179992675781
2001M04,7.08,4.8,172.4,10609.0567634702,3.87,5.78,118.5,1649,588.085998535156
2001M05,7.15,4.21,172.9,10647.9356396713,3.62,5.92,118.953,1605,591.534973144531
2001M06,7.16,3.97,173.4,10658.2075968586,3.49,5.82,119.502,1636,594.536010742188
2001M07,7.13,3.77,174,10639.8671465908,3.51,5.75,120.102,1670,601.086975097656
2001M08,6.95,3.65,174.4,10635.0087764004,3.36,5.58,120.954,1567,607.335021972656
2001M09,6.82,3.07,174.6,10643.6240770088,2.64,5.53,121.952,1562,613.447021484375
2001M10,6.62,2.49,175.3,10665.7072016071,2.16,5.34,122.81,1540,615.364990234375
2001M11,6.66,2.09,175.2,10697.9229220119,1.87,5.33,123.623,1602,622.075988769531
2001M12,7.07,1.82,175.2,10740.269876381,1.69,5.76,124.019,1568,632.656982421875
2002M01,7,1.73,176.2,10792.7486262269,1.65,5.69,124.827,1698,634.0830078125
2002M02,6.89,1.74,176.4,10837.1066144387,1.72,5.61,125.759,1829,636.140014648438
2002M03,7.01,1.73,176.6,10873.3447593344,1.79,5.93,127.035,1642,640.044006347656
2002M04,6.99,1.75,176.7,10901.4624127512,1.71,5.85,128.54,1592,643.85302734375
2002M05,6.81,1.75,176.4,10933.4953865353,1.73,5.81,130.34,1764,649.546020507813
2002M06,6.65,1.75,176.4,10969.4422007136,1.7,5.65,132.217,1717,655.200988769531
2002M07,6.49,1.73,176.6,11009.3021098232,1.68,5.51,134.098,1655,661.356018066406
2002M08,6.29,1.74,176.6,11040.1159434037,1.62,5.19,135.955,1633,660.864990234375
2002M09,6.09,1.75,176.9,11061.8819467731,1.63,4.87,137.607,1804,661.5830078125
2002M10,6.11,1.75,177.1,11074.596621326,1.58,5,139.368,1648,662.718994140625
2002M11,6.07,1.34,177.4,11099.6785470419,1.23,5.04,141.007,1753,668.236999511719
2002M12,6.05,1.24,177.8,11137.1248316321,1.19,5.01,142.565,1788,678.659973144531
2003M01,5.92,1.24,178.1,11186.9349331636,1.17,5.02,143.862,1853,677.744995117188
2003M02,5.84,1.26,178.9,11231.7610483103,1.17,4.87,145.041,1629,680.335998535156
2003M03,5.75,1.25,179.2,11271.6040185261,1.13,4.82,146.136,1726,683.797973632813
2003M04,5.81,1.26,179,11306.4637185602,1.13,4.91,147.14,1643,687.35498046875
2003M05,5.48,1.26,179.4,11363.3550779272,1.07,4.52,148.192,1751,690.7509765625
2003M06,5.23,1.22,180.2,11442.2812035126,0.92,4.34,149.132,1867,691.893005371094
2003M07,5.63,1.01,180.3,11543.2494016613,0.9,4.92,150.647,1897,694.590026855469
2003M08,6.26,1.03,180.9,11629.877212134,0.95,5.39,152.435,1833,695.356018066406
2003M09,6.15,1.01,181.3,11702.1733862047,0.94,5.21,154.658,1939,697.184997558594
2003M10,5.95,1.01,182.2,11760.1439208942,0.92,5.21,156.814,1967,701.661010742188
2003M11,5.93,1,182.9,11817.1278535461,0.93,5.17,159.17,2083,707.452026367188
2003M12,5.88,0.98,184.1,11873.1282255597,0.9,5.11,161.642,2057,716.591003417969
2004M01,5.74,1,184.3,11928.1478764002,0.88,5.01,164.007,1911,713.322021484375
2004M02,5.64,1.01,184.5,11987.0910382016,0.93,4.94,166.419,1846,713.609985351563
2004M03,5.45,1,184.9,12049.9610853982,0.94,4.72,169.48,1998,714.054992675781
2004M04,5.83,1,185,12116.7621294295,0.94,5.16,172.483,2003,716.861022949219
2004M05,6.27,1,186.5,12181.9396621326,1.02,5.46,175.542,1981,720.815979003906
2004M06,6.29,1.03,186.8,12245.498208438,1.27,5.45,178.842,1828,726.5
2004M07,6.06,1.26,187.2,12307.4419698406,1.33,5.24,181.528,2002,734.677001953125
2004M08,5.87,1.43,187.3,12368.1205270419,1.48,5.07,183.532,2024,734.718994140625
2004M09,5.75,1.61,187.2,12427.5375031175,1.65,4.89,185.522,1905,738.89501953125
2004M10,5.72,1.76,188.4,12485.6962660487,1.76,4.85,187.447,2072,740.997985839844
2004M11,5.73,1.93,188.6,12557.6123246867,2.07,4.89,189.491,1782,748.708984375
2004M12,5.75,2.16,188.9,12643.2914092646,2.19,4.88,191.759,2042,753.450988769531
2005M01,5.71,2.28,189.5,12742.7418678139,2.33,4.77,194.604,2144,749.193969726563
2005M02,5.63,2.5,189.3,12820.8213647993,2.54,4.61,197.778,2207,751.351989746094
2005M03,5.93,2.63,189.6,12877.5367673868,2.74,4.89,201.28,1864,752.242004394531
2005M04,5.86,2.79,190.7,12912.8908437948,2.78,4.75,203.828,2061,753.570007324219
2005M05,5.72,3,191.1,12967.6356391296,2.84,4.56,206.084,2025,755.447998046875
2005M06,5.58,3.04,190.9,13041.7735170756,2.97,4.35,208.224,2068,760.119018554688
2005M07,5.7,3.26,191.3,13135.310535653,3.22,4.48,210.277,2054,763.598022460938
2005M08,5.82,3.5,191.3,13211.2602943713,3.44,4.53,212.318,2095,763.504028320313
2005M09,5.77,3.62,191.8,13269.6291699757,3.42,4.51,214.971,2151,767.877014160156
2005M10,6.07,3.78,192.5,13310.4201636618,3.71,4.74,217.458,2065,768.786987304688
2005M11,6.33,4,192.8,13374.0017967843,3.88,4.83,219.941,2147,775.736022949219
2005M12,6.27,4.16,193.2,13460.3780395539,3.89,4.73,222.18,1994,784.379028320313
2006M01,6.15,4.29,194.5,13569.5572069318,4.24,4.65,223.872,2273,784.908020019531
2006M02,6.25,4.49,194.4,13656.3570015223,4.43,4.73,225.636,2119,787.0009765625
2006M03,6.32,4.59,194.5,13720.785791546,4.51,4.91,226.476,1969,789.086975097656
2006M04,6.51,4.79,194.2,13762.8476537418,4.6,5.22,226.903,1821,790.68798828125
2006M05,6.6,4.94,194.7,13801.0776191179,4.72,5.35,226.644,1942,794.734008789063
2006M06,6.68,4.99,195.1,13835.4747271404,4.79,5.29,225.691,1802,794.455993652344
2006M07,6.76,5.24,195.6,13866.0372705208,4.95,5.25,224.56,1737,795.27099609375
2006M08,6.52,5.25,196,13905.5251438753,4.96,5.08,223.261,1650,793.952026367188
2006M09,6.4,5.25,196.7,13953.937585604,4.81,4.93,222.836,1720,794.02001953125
2006M10,6.36,5.25,197.5,14011.2755267317,4.92,4.94,222.777,1491,794.47998046875
2006M11,6.24,5.25,197.2,14066.9527938596,4.94,4.78,222.88,1570,801.97998046875
2006M12,6.14,5.24,197.4,14120.9716794088,4.85,4.78,222.562,1649,810.815979003906
2007M01,6.22,5.25,199.198,14173.3341448326,4.98,4.95,222.745,1409,807.390991210938
2007M02,6.29,5.26,200.402,14231.3234793332,5.03,4.93,222.971,1480,805.364013671875
2007M03,6.16,5.26,200.869,14294.9423758343,4.94,4.81,222.88,1495,806.299987792969
2007M04,6.18,5.25,201.292,14364.1945898375,4.87,4.95,221.395,1490,807.594970703125
2007M05,6.26,5.25,202.225,14425.0858994043,4.73,4.98,219.28,1415,810.080017089844
2007M06,6.66,5.25,202.885,14477.6195107582,4.61,5.29,216.807,1448,811.135009765625
2007M07,6.7,5.26,203.533,14521.7970181617,4.82,5.19,214.45,1354,814.349975585938
2007M08,6.57,5.02,204.289,14568.768505645,4.2,5,211.939,1330,811.81298828125
2007M09,6.38,4.94,205.279,14618.5344761933,3.89,4.84,210.104,1183,811.611999511719
2007M10,6.38,4.76,206.124,14671.0959532676,3.9,4.83,207.659,1264,814.023010253906
2007M11,6.21,4.49,206.563,14694.8903501752,3.27,4.56,204.158,1197,819.7490234375
2007M12,6.1,4.24,206.936,14689.9136965573,3,4.57,200.799,1037,821.851989746094
2008M01,5.76,3.94,208.837,14656.1565068052,2.75,4.35,197.469,1084,815.257995605469
2008M02,5.92,2.98,209.462,14656.9019340644,2.12,4.49,193.152,1103,814.627014160156
2008M03,5.97,2.61,209.692,14692.1415591305,1.26,4.36,189.314,1005,816.504028320313
2008M04,5.92,2.28,211.365,14761.873544657,1.29,4.44,185.919,1013,813.706970214844
2008M05,6.04,1.98,212.251,14817.6508670485,1.73,4.6,182.551,973,818.221008300781
2008M06,6.32,2,213.383,14859.4755882946,1.86,4.74,179.985,1046,823.142028808594
2008M07,6.43,2.01,215.326,14887.3470886079,1.63,4.62,176.759,923,830.814025878906
2008M08,6.48,2,216.419,14861.0580651598,1.72,4.53,174.008,844,831.017028808594
2008M09,6.04,1.81,217.672,14780.5948462324,1.13,4.32,170.766,820,834.151977539063
2008M10,6.2,0.97,218.705,14645.9333874576,0.67,4.45,167.797,777,852.426025390625
2008M11,6.09,0.39,218.752,14540.2502057882,0.19,4.27,165.054,652,865.460021972656
2008M12,5.33,0.16,218.839,14463.5164067543,0.03,3.18,162.262,560,878.616027832031
2009M01,5.06,0.15,219.729,14415.7086175057,0.13,3.46,159.266,490,886.343017578125
2009M02,5.13,0.22,219.333,14379.9041006612,0.3,3.83,157.095,582,895.223999023438
2009M03,5,0.18,218.794,14356.0872818331,0.21,3.78,154.413,505,901.330017089844
2009M04,4.81,0.15,218.364,14344.2448649673,0.16,3.84,152.874,478,903.637023925781
2009M05,4.86,0.18,218.076,14338.4030837082,0.18,4.22,152.087,540,906.007995605469
2009M06,5.42,0.21,218.03,14338.5520513246,0.18,4.51,152.722,585,907.364013671875
2009M07,5.22,0.16,217.608,14344.6830127271,0.18,4.38,153.891,594,910.028991699219
2009M08,5.19,0.16,217.701,14375.7792098626,0.17,4.33,155.245,586,910.638000488281
2009M09,5.06,0.15,217.617,14431.8377774103,0.12,4.14,156.068,585,913.518005371094
2009M10,4.95,0.12,217.957,14512.8606093031,0.07,4.16,156.872,534,915.18701171875
2009M11,4.88,0.12,217.733,14573.3451821712,0.05,4.24,157.575,588,919.447998046875
2009M12,4.93,0.12,218.049,14613.2942085257,0.05,4.4,158.49,581,924.666015625
2010M01,5.03,0.11,219.223,14632.7064603595,0.06,4.5,159.45,614,920.559997558594
2010M02,4.99,0.13,219.14,14673.8549346451,0.11,4.48,159.758,604,929.159973144531
2010M03,4.97,0.16,219.378,14736.7386049955,0.15,4.49,159.458,636,932.679992675781
